nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT00108953,sorafenib,BRAF,hepatocellular carcinoma,ras_mapk_pathway,0.89,0.136,0.248,"[0.07, 0.48]",7,0.55,0.186,29.0
NCT02434081,nivolumab,PDCD1,nsclc,immune_checkpoint,0.67,0.2,0.173,"[0.03, 0.39]",6,0.4,0.184,67.7
NCT03570619,nivolumab,PDCD1,solid tumors,immune_checkpoint,0.67,0.14,0.192,"[0.03, 0.43]",5,0.37,0.173,52.8
NCT01286077,bortezomib,PSMB5,multiple myeloma,proteostasis_immunomodulatory,0.89,0.25,0.319,"[0.14, 0.53]",8,0.51,0.284,89.7
NCT01051557,temsirolimus,MTOR,glioblastoma,cell_cycle,0.89,0.113,0.124,"[0.01, 0.36]",1,0.12,0.122,3.1
NCT03321630,pembrolizumab,PDCD1,gastric cancer,immune_checkpoint,0.67,0.14,0.288,"[0.05, 0.61]",2,0.22,0.255,52.8
NCT01935934,cabozantinib,MET,endometrial cancer,growth_factor_kinase,0.89,0.136,0.13,"[0.00, 0.43]",1,0.19,0.131,29.0
NCT02939651,pembrolizumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT00111839,pemetrexed,TYMS,nsclc,cytotoxic_chemo,0.56,0.174,0.338,"[0.04, 0.74]",2,0.3,0.289,65.2
NCT03674112,trastuzumab,ERBB2,breast cancer,growth_factor_kinase,0.89,0.244,0.268,"[0.14, 0.42]",21,0.76,0.25,86.2
NCT02536742,palbociclib,CDK4,breast cancer,cell_cycle,0.89,0.187,0.185,"[0.04, 0.41]",4,0.34,0.185,66.5
NCT01274351,nilotinib,ABL1,leukemia,growth_factor_kinase,0.89,0.117,0.057,"[0.00, 0.20]",7,0.59,0.092,13.6
NCT00176605,etoposide,TOP2A,prostate cancer,cytotoxic_chemo,0.56,0.05,0.095,"[0.00, 0.44]",1,0.2,0.086,0.0
NCT00611351,cyclophosphamide,DNA,multiple myeloma,cytotoxic_chemo,0.33,0.136,0.03,"[0.00, 0.14]",7,0.27,0.058,29.0
NCT01992653,rituximab,MS4A1,lymphoma,bcell_lymphoma_target,0.78,0.113,0.092,"[0.03, 0.19]",24,0.59,0.105,3.1
NCT03322267,pembrolizumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT00923936,bevacizumab,VEGFA,cancer nos,angiogenesis,0.67,0.136,0.378,"[0.17, 0.61]",9,0.49,0.26,29.0
NCT04644237,trastuzumab,ERBB2,nsclc,growth_factor_kinase,0.89,0.157,0.107,"[0.00, 0.36]",2,0.32,0.123,62.2
NCT01794039,lenalidomide,CRBN,multiple myeloma,proteostasis_immunomodulatory,0.89,0.242,0.322,"[0.15, 0.52]",11,0.58,0.276,74.5
NCT02006667,trastuzumab,ERBB2,cancer nos,growth_factor_kinase,0.89,0.157,0.242,"[0.04, 0.54]",3,0.4,0.208,62.2
